RESTAURANT_NAME,CITY,AREA,RATING,RATING_COUNT,CUSINE,Online_Order,TABLE_RESERVATION,FAMOUS_FOOD
"Sainik Food","Delhi NCR","Pandav Nagar",3.2,21,"North Indian",No,No,NULL
"Kunal's Creamery & Eatery",Mumbai,Ambernath,3.6,51,"Street Food, Chinese, Fast Food",No,No,"Penne Pasta"
"Brij Palace Restaurant","Delhi NCR",Jasola,0,0,"North Indian",No,No,"Chana Masala , Butter Naan , Paneer Bhujia , Dal Makhani"
"Sahib Hotel","Delhi NCR",Paharganj,0,0,"North Indian",No,No,NULL
Chunky's,Kolkata,Shibpur,3,78,"Italian, Pizza, Continental",Yes,No,NULL
"The Food Story","Delhi NCR","Sector 17, Faridabad",0,0,"North Indian, Chinese",Yes,No,NULL
"Manish Indian & Chinese Food Corner","Delhi NCR",Mahipalpur,0,0,"Chinese, North Indian, Rolls",No,No,NULL
Applemint,Mumbai,Kharghar,3.5,94,Chinese,Yes,No,"Momos , Liti Chokha , Chicken Momo , Litti , Noodle"
"Way To Waffles","Delhi NCR",Vaishali,3.6,31,"Italian, Fast Food, Desserts",Yes,No,NULL
"Food Fantasy","Delhi NCR","Mayur Vihar Phase 1",3.8,437,"North Indian, Chinese, Fast Food",Yes,No,"Tandoori Chicken , Pizza , Dal Makhani , Butter Chicken , Tomato Soup , Murgh Lababdar , Fried Rice Chicken"
"Curry And Combos Twist",Mumbai,"Goregaon East",4.4,92,"North Indian, Chinese, Fast Food, Pizza, Panini, Sandwich, South Indian",Yes,No,"Kadhai Paneer , Paneer Tikka , Gulab Jamun , Cheese Garlic Naan , Mushroom Tikka , Cheese Pav Bhaji , Dum Biryani"
"Friend Z Cafe","Delhi NCR",Rohini,0,0,Beverages,No,No,NULL
"Bunty Fast Food Centre",Kolkata,Behala,0,0,"Fast Food",Yes,No,NULL
"Nutritious Bites","Delhi NCR",Rohini,3,77,"Healthy Food",Yes,No,NULL
"Bombay's Royal China","Delhi NCR","Prashant Vihar",3.4,42,"Chinese, Fast Food, Momos",Yes,No,NULL
"Food Village",Kolkata,Baranagar,2.8,355,"North Indian",Yes,No,"Tandoori Chicken , Fish , Bbq Chicken , Veg Pulao , Coffee , Biryani , Naan"
"Gazzab Family Restaurant","Delhi NCR",Palam,3.5,41,"Chinese, North Indian",Yes,No,NULL
"The Bunk House","Delhi NCR","Hauz Khas Village",3.5,104,"Italian, Continental, North Indian",No,No,"Mocktails , Pasta , Chilli Chicken , Pizza , Nachos"
"AIR- An Ivory Region","Delhi NCR","Punjabi Bagh",4.2,2713,"North Indian, Chinese, Continental, Asian",No,Yes,"Pizza , Chicken Tikka , Momos , Paneer Tikka , Pink Pasta , Noodle , Mocktails"
"Pizza Galleria","Delhi NCR","Gaur City 2",3.7,54,"Pizza, Fast Food",Yes,No,NULL
"Brijwasi Sweets",Mumbai,"Vile Parle East",3.5,23,Mithai,No,No,NULL
"Chakkhna : Beyond Peanuts","Delhi NCR","Sector 49",4,690,"North Indian, Biryani, Mughlai, Kebab",Yes,No,"Dal Makhani , Dahi Ke Sholey , Paneer Tikka , Jhoomta Kukkad , Naan , Biryani , Chicken Tikka"
"Truffle Tangles","Delhi NCR","Sector 49",3.8,41,"Bakery, Desserts, South Indian, North Indian, Bengali",No,No,"Chocolate Truffle , Cupcake , Fruit Cake , Designer Cakes"
Pizzaman,Kolkata,"Sector 5, Salt Lake",3.2,292,"Pizza, Italian, American",Yes,No,"Burgers , Sandwich , Prawn Pizza , Hot Dog , Cottage Cheese Pizza , Chicken Burger"
"Foodee Hub","Delhi NCR","Uttam Nagar",3.2,14,"Chinese, North Indian",Yes,No,NULL
"Anand Special Nasta","Delhi NCR","Uttam Nagar",0,0,"North Indian",No,No,NULL
"Taste Of Kerala","Delhi NCR","Sector 81, Faridabad",0,0,"South Indian",No,No,NULL
"Pepper And Salt","Delhi NCR","Gaur City 2",3.2,11,"Chinese, North Indian",Yes,No,NULL
"Capri Chef Cart","Delhi NCR",Vikaspuri,3.8,503,Chinese,Yes,No,"Momos , Chowmein , Noodle , Honey Chilli Potatoes , Spring Roll , Burgers , Chilli Chicken"
"Wah Shah Ji Wah","Delhi NCR","Tilak Nagar",3.4,17,"North Indian",Yes,No,NULL
"Food Swag","Delhi NCR","Uttam Nagar",0,0,"Rolls, Chinese, Fast Food, Salad, North Indian",No,No,NULL
